"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"Angela da Foligno (1248 – 1309) VER Ângela de Foligno","","","","","","",""
"Gilbert Porreta VER Gilbert de Poitiers","","","","","","",""
"Philosophische Texte. Studienausgabe  (Jürgen Habermas)","193.96 H114pt v.","2508542","Existe em português: 193.96 H114ptP v.","","","",""
"Pseudo-Denys l'Aréopagite  VER Dionísio, o Aeropagita, Pseudo-Dionísio","","2508542","","","","",""
"Abade de Locédio (d.1214)","","","","Autor","","",""
"Abailard, Pierre v. ABERLARDO, Pedro","","","","Autor","","",""
"Abalos Sísmicos v. TERREMOTOS","","fflch","","Assunto","","",""
"Abélard, Pierre v. ABELARDO, Pedro","","fflch","","Autor","","",""
"ABELARDO, PEDRO, filósofo e teólogo escolástico francês 1079-1142","189.4","","189.4 A139","Autor","","",""
"Abelardus v. ABELARDO, Pedro","","fflch","","Autor","","",""
"ABERLARDO, Pedro, filósofo e teólogo escolástico francês (1079-1142)","189.4","fflch","","","","",""
"ABLUÇÃO (Islamismo)","297.38","fflch","","Assunto","","",""
"Aborígene na América v. ÍNDIOS","","fflch","","Assunto","","",""
"ABORTO (Aspectos sociais)","301.426363.46 (*)","fflch","","Assunto","","",""
"ABORTOS (DEMOGRAFIA)","304.667","fflch","","Assunto","","",""
"Aboulafia, Abraham ben Samuel (1240-1291)","296.16 A155","","","","","",""
"ABRAHAM, Joseph Ben (ca. séc. XI)","181.3","","","Autor","","",""
"ABREU, JOSE M. CASIMIRO DE. 1839-1860","869.9137","","","","","",""
"ABSOLUTISMO (Regime político)","321.6","fflch","","Assunto","","",""
"ABSTENÇÃO ELEITORAL","324.65","fflch","","Assunto","","",""
"Abulafia, Abraham (1240-1291) VER Aboulafia, Abraham ben Samuel","","","","","","",""
"Academia de Letras - Brasil  v. Literatura brasileira - Associações literárias","","","VER Literatura brasileira - Associações literárias","","","",""
"Acalantos v. CANTIGAS DE NINAR","","fflch","","Assunto","","",""
"AÇÃO DE GRUPOS POLÍTICOS (Movimentos políticos)","322.4","fflch","","Assunto","","",""
"AÇÃO GLACIAL","551.313","fflch","","Assunto","","",""
"ACIDENTES DO TRABALHO","331363.11 (*)","fflch","","Assunto","","",""
"ACLIMATAÇÃO","578.42","fflch","","Assunto","","",""
"ACORDOS COMERCIAIS","382.9","fflch","","Assunto","","",""
"ACORDOS INTERNACIONAIS","327.17","fflch","","Assunto","","",""
"Açores","914.699","fflch","","Assunto","","",""
"Acre","918.112","","","Assunto","","",""
"AÇÚCAR (CUBA)","630.7291","","","Assunto","","",""
"AÇÚCAR (História)","","fflch","","","","",""
"ACULTURAÇÃO","301.2","fflch","","Assunto","","",""
"Adágios v. PROVÉRBIOS","","fflch","","Assunto","","",""
"Adam Ferguson v. Ferguson, Adam","","","","Autor","","",""
"ADIVINHAÇÕES (Folclore)","398.6","fflch","","Assunto","","",""
"Adivinhas v. ADIVINHAÇÕES","","fflch","","Assunto","","",""
"ADMINISTRAÇÃO MUNICIPAL","352","fflch","","Assunto","","",""
"ADMINISTRAÇÃO PÚBLICA","350","fflch","","Assunto","","",""
"ADMINISTRAÇÃO TURÍSTICA","388.9741","fflch","","Assunto","","",""
"ADOÇÃO","346.0178","fflch","","Assunto","","",""
"ADOLESCENTE (Psicologia)","155.5","fflch","","Assunto","","",""
